,0,1,2,3,4,5
2143,,,,16741 CANAL RD,CLINTON TOWNSHIP,MI 48038
2144,,,,40925 GARFIELD ROAD,CLINTON TWP,MI 48038
2145,,,17900 23 MILE ROAD,SUITE #104,MACOMB TOWNSHIP,MI 48044
2146,,,,30795 23 MILE ROAD,CHESTERFIELD TOWNSHIP,MI 48047
2147,,,,30852 WOODWARD AVE,ROYAL OAK,MI 48073
2148,,,,30900 WOODWARD,ROYAL OAK,MI 48073
2149,,,DBA NORTHLAND MEDICAL BLDG.,20905 GREENFIELD ROAD,SOUTHFIELD,MI 48075
2150,,,,25014 LITTLEMACK AVE,SAINT CLAIR SHORES,MI 48080
2151,,,,28577 SCHOENHERR ROAD,WARREN,MI 48088
2152,,,,25109 RYAN,WARREN,MI 48091
2153,,,,25 SOUTH MAIN ST,YALE,MI 48097
2154,,,PHARMACY SERVICES,2215 FULLER ROAD,ANN ARBOR,MI 48105
2155,,,,207 FLETCHER STREET,ANN ARBOR,MI 48109
2156,,,,10915 BELLEVILLE ROAD,BELLEVILLE,MI 48111
2157,,,,4515 SOUTH TELEGRAPH RD,DEARBORN HEIGHTS,MI 48125
2158,,,,5709 S TELEGRAPH RD,DEARBORN HEIGHTS,MI 48125
2159,,,,5500 AUTO CLUB DRIVE,DEARBORN,MI 48126
2160,,,,6650 GREENFIELD RD,DEARBORN,MI 48126
2161,,,,25524 FORD ROAD,DEARBORN HEIGHTS,MI 48127
2162,,,,25871 FORD ROAD,DEARBORN HEIGHTS,MI 48127
2163,,,,25700 FORD RD,DEARBORN HEIGHTS,MI 48127
2164,,,,27435 FORD RD.,GARDEN CITY,MI 48135
2165,,,7473 SECOR ROAD,UNIT C,LAMBERTVILLE,MI 48144
2166,,,,2400 FORT ST.,LINCOLN PARK,MI 48146
2167,,,,29200 SCHOOLCRAFT,LIVONIA,MI 48150
2168,,,,31193 PLYMOUTH RD,LIVONIA,MI 48150
2169,,,,20434 FARMINGTON ROAD,LIVONIA,MI 48152
2170,,,,37340 FIVE MILE RD.,LIVONIA,MI 48154
2171,,,56270 GRAND RIVER,P.O. BOX 218,NEW HUDSON,MI 48165
2172,,,,8941 LEWIS AVENUE,TEMPERANCE,MI 48182
2173,,,,23050 WEST ROAD,BROWNSTOWN TOWNSHIP,MI 48183
2174,,,,3390 WEST ROAD,TRENTON,MI 48183
2175,,,,8226 NORTH MERRIMAN ROAD,WESTLAND,MI 48185
2176,,,,2333 BIDDLE AVENUE,WYANDOTTE,MI 48192
2177,,,,13355 DIX TOLEDO ROAD,SOUTHGATE,MI 48195
2178,,,,6 W. MICHIGAN AVE,YPSILANTI,MI 48197
2179,,,4100 JOHN R,SUITE HP00RX,DETROIT,MI 48201
2180,,,MAIN CAMPUS PHARMACY (LOBBY),2799 W. GRAND BLVD,DETROIT,MI 48202
2181,,,K-15 PHARMACY,2799 W. GRAND BLVD.,DETROIT,MI 48202
2182,,,,2888 WEST GRAND BLVD.,DETROIT,MI 48202
2183,,,,1 FORD PLACE,DETROIT,MI 48209
2184,,,,6240 MICHIGAN AVE,DETROIT,MI 48210
2185,,,,10011 WEST MCNICHOLS ROAD,DETROIT,MI 48221
2186,,,,18500 GRAND RIVER,DETROIT,MI 48223
2187,,,131 KERCHEVAL,SUITE #110,GROSSE POINTE FARMS,MI 48236
2188,,,22151 MOROSS ROAD,SUITE G-25,DETROIT,MI 48236
2189,,,,25901 COOLIDGE RD,OAK PARK,MI 48237
2190,,,,14500 HALL ROAD,STERLING HEIGHTS,MI 48313
2191,,,,6777 WEST MAPLE RD,WEST BLOOMFIELD,MI 48322
2192,,,800 CHRYSLER DR.,STE W2001,AUBURN HILLS,MI 48326
2193,,,,420 W. HURON,PONTIAC,MI 48341
2194,,,,7110 DIXIE HIGHWAY,CLARKSTON,MI 48346
2195,,,26850 PROVIDENCE PARKWAY,SUITE 100,NOVI,MI 48374
2196,,,,901 S STATE RD,DAVISON,MI 48423
2197,,,,221 N SAGINAW STREET,DURAND,MI 48429
2198,,,,210 SOUTH FIRST STREET,HARBOR BEACH,MI 48441
2199,,,DBA: HARBOR DRUG,114 S. HURON AVENUE,HARBOR BEACH,MI 48441
2200,,,,316 WEST NEPESSING STREET,LAPEER,MI 48446
2201,,,,316 W NEPESSING ST,LAPEER,MI 48446
2202,,,,11830 NORTH SAGINAW STREET,MOUNT MORRIS,MI 48458
2203,,,1201 FLUSHING ROAD,SUITE 2,FLINT,MI 48504
2204,,,,2918 NORTH SAGINAW STREET,FLINT,MI 48505
2205,,,,3097 N. GENESEE RD,FLINT,MI 48506
2206,,,4800 S. SAGINAW ST.,SUITE 1675,FLINT,MI 48507
2207,,,4400 S. SAGINAW ST,SUITE 1335,FLINT,MI 48507
2208,,,G-3333 BEECHER ROAD,SUITE B,FLINT,MI 48532
2209,,,,4989 STATE ST,SAGINAW,MI 48603
2210,,,,1115 W BROAD STREET,CHESANING,MI 48616
2211,,,,211 E RAILWAY,COLEMAN,MI 48618
2212,,,,9249 W LAKE CITY RD,HOUGHTON LAKE,MI 48629
2213,,,778 W HOUGHTON LAKE DR,PO BOX 116,PRUDENVILLE,MI 48651
2214,,,,200 SOUTH WENONA STREET,BAY CITY,MI 48706
2215,,,,4175 NORTH EUCLID AVENUE,BAY CITY,MI 48706
2216,,,,1900 COLUMBUS AVENUE,BAY CITY,MI 48708
2217,,,,192 NORTH STATE STREET,CARO,MI 48723
2218,,,,6568 MAIN ST,CASEVILLE,MI 48725
2219,,,,4970 RAILROAD STREET,ELKTON,MI 48731
2220,,,,177 N BARLOW,LINCOLN,MI 48742
2221,,,315 E MAIN ST,PO BOX 281,MAYVILLE,MI 48744
2222,,,,8542 STATE RD,MILLINGTON,MI 48746
2223,,,,168 N. CASEVILLE ROAD,PIGEON,MI 48755
2224,,,,8866 S UNIONVILLE RD,SEBEWAING,MI 48759
2225,,,,181 WEST HURON ROAD,VASSAR,MI 48768
2226,,,,140 EAST ROAD,DIMONDALE,MI 48821
2227,,,119 E. GRAND RIVER,P.O. BOX 337,FOWLERVILLE,MI 48836
2228,,,,2235 EAST GRAND RIVER AVE.,HOWELL,MI 48843
2229,,,,838 4TH AVENUE,LAKE ODESSA,MI 48849
2230,,,,4851 E PICKARD ST,MOUNT PLEASANT,MI 48858
2231,,,,926 S MISSION ST,MT PLEASANT,MI 48858
2232,,,SAGINAW CHIPPEWA INDIAN TRIBE,2591 S LEATON ROAD,MOUNT PLEASANT,MI 48858
2233,,,812 EAST JOLLY ROAD,SUITE #208,LANSING,MI 48910
2234,,,,410 E JOLLY ROAD,LANSING,MI 48910
2235,,,,8822 PORTAGE ROAD,PORTAGE,MI 49002
2236,,,,117 W PATERSON,KALAMAZOO,MI 49007
2237,,,,NORTH GILKISON AVENUE,KALAMAZOO,MI 49008
2238,,,,5020 W MAIN,KALAMAZOO,MI 49009
2239,,,DBA ALLEGAN COMMUNITY PHARMACY,115 LOCUST STREET,ALLEGAN,MI 49010
2240,,,363 FREMONT ST.,SUITE 111,BATTLE CREEK,MI 49017
2241,,,,274 EAST CHICAGO STREET,COLDWATER,MI 49036
2242,,,,32652 KNO DRIVE,DOWAGIAC,MI 49047
2243,,,5585 GULL ROAD,SUITE #120,KALAMAZOO,MI 49048
2244,,,,132 W. MICHIGAN AVE.,MARSHALL,MI 49068
2245,,,,322 E. MICHIGAN AVENUE,PAW PAW,MI 49079
2246,,,,1234 NAPIER AVENUE,ST JOSEPH,MI 49085
2247,,,,3900 HOLLYWOOD ROAD,ST JOSEPH,MI 49085
2248,,,,807 NAPIER AVENUE,SAINT JOSEPH,MI 49085
2249,,,,1260 HILLTOP RD,SAINT JOSEPH,MI 49085
2250,,,,950 S CENTERVILLE RD,STURGIS,MI 49091
2251,,,,701 S. HEALTH PARKWAY,THREE RIVERS,MI 49093
2252,,,,31 NORTH ST JOSEPH STREET,NILES,MI 49120
2253,,,,907 SOUTH 11TH ST,NILES,MI 49120
2254,,,,505 NORTH JACKSON STREET,JACKSON,MI 49201
2255,,,,1314 N WEST AVE,JACKSON,MI 49202
2256,,,,1325 N MAIN ST STE H,ADRIAN,MI 49221
2257,,,,818 RIVERSIDE AVENUE,ADRIAN,MI 49221
2258,,,DIVISION OF NASH DRUGS INC,208 W CARLETON ROAD,HILLSDALE,MI 49242
2259,,,44 NORTH HOWELL STREET,SUITE A,HILLSDALE,MI 49242
2260,,,,30 NORTH HOWELL STREET,HILLSDALE,MI 49242
2261,,,,237 E CHICAGO ST,JONESVILLE,MI 49250
2262,,,,1615 MICHIGAN AVE,BALDWIN,MI 49304
2263,,,,9175 CHERRY VALLEY AVE SE,CALEDONIA,MI 49316
2264,,,,11 NORTH MAPLE STREET,GRANT,MI 49327
2265,,,,1035 E WILCOX,WHITE CLOUD,MI 49349
2266,,,,194 N DIVISION STREET,HESPERIA,MI 49421
2267,,,,803 LINCOLN AVENUE,HOLLAND,MI 49423
2268,,,,494 BUTTERNUT,HOLLAND,MI 49424
2269,,,,132 DOUGLAS AVE.,HOLLAND,MI 49424
2270,,,,1631 W. SHERMAN,MUSKEGON,MI 49441
2271,,,,1675 LEAHY ST,MUSKEGON,MI 49442
2272,,,,1991 E APPLE AVE,MUSKEGON,MI 49442
2273,,,,2700 BAKER STREET,MUSKEGON HEIGHTS,MI 49444
2274,,,6401 PRAIRIE,SUITE #1100,MUSKEGON,MI 49444
2275,,,,2201 S GETTY STREET,MUSKEGON,MI 49444
2276,,,,2144 HOYT STREET,MUSKEGON HEIGHTS,MI 49444
2277,,,1150 E. SHERMAN BOULEVARD,SUITE 1400,MUSKEGON,MI 49444
2278,,,,6020 KALAMAZOO AVE. SE,KENTWOOD,MI 49508
2279,,,4665 44TH STREET SE,SUITE A-1106,GRAND RAPIDS,MI 49512
2280,,,,4021 CASCADE ROAD SE,GRAND RAPIDS,MI 49546
2281,,,,727 28TH ST. SE,GRAND RAPIDS,MI 49548
2282,,,,108 NORTH MITCHELL,CADILLAC,MI 49601
2283,,,,520 COBB STREET,CADILLAC,MI 49601
2284,,,,1220 N MITCHELL,CADILLAC,MI 49601
2285,,,120 NORTH BRIDGE STREET,PO BOX 272,BELLAIRE,MI 49615
2286,,,,2424 NORTH MAIN STREET,CENTRAL LAKE,MI 49622
2287,,,,124 AMES ST,ELK RAPIDS,MI 49629
2288,,,,107 N. MAIN ST,EVART,MI 49631
2289,,,,119 N ROLAND ST,MC BAIN,MI 49657
2290,,,,1465 EAST PARKDALE AVENUE,MANISTEE,MI 49660
2291,,,,1185 US 23 NORTH,ALPENA,MI 49707
2292,,,,1501 W. CHISHOLM ST.,ALPENA,MI 49707
2293,,,11899 M-32,PO BOX 850,ATLANTA,MI 49709
2294,,,,12124 WEST LAKE SHORE DRIVE,BRIMLEY,MI 49715
2295,,,127 NORTH MAIN,P.O. BOX 345,CHEBOYGAN,MI 49721
2296,,,,500 N JAMES STREET,GRAYLING,MI 49738
2297,,,21258 WEST M-68 HIGHWAY,PO BOX 722,ONAWAY,MI 49765
2298,,,,11745 US 23 SOUTH,OSSINEKE,MI 49766
2299,,,560 WEST MITCHELL,SUITE #200,PETOSKEY,MI 49770
2300,,,,500 OSBORN BLVD,SAULT S MARIE,MI 49783
2301,,,,3401 LUDINGTON,ESCANABA,MI 49829
2302,,,,2301 LUDINGTON ST,ESCANABA,MI 49829
2303,,,,211 S CEDAR ST,MANISTIQUE,MI 49854
2304,,,,1400 WEST ICE LAKE ROAD,IRON RIVER,MI 49935
2305,,,,113 N. 9TH ST,ADEL,IA 50003
2306,,,,3600 UNIVERSITY BLVD STE 103,AMES,IA 50010
2307,,,107 NE DELAWARE AVENUE,STE. 6,ANKENY,IA 50021
2308,,,,507 CHESTNUT STREET,ATLANTIC,IA 50022
2309,,,3625 N ANKENY BLVD,SUITE A,ANKENY,IA 50023
2310,,,,901 N ANKENY BLVD,ANKENY,IA 50023
2311,,,,109 N MARKET ST,AUDUBON,IA 50025
2312,,,,1901 COURT AVE,CHARITON,IA 50049
2313,,,,101 NORTH WALNUT STREET,COLFAX,IA 50054
2314,,,307 STATE STREET,BOX 99,GUTHRIE CENTER,IA 50115
2315,,,,710 NORTH 12TH STREET,GUTHRIE CENTER,IA 50115
2316,,,,1000 W LINCOLNWAY,JEFFERSON,IA 50129
2317,,,,204 N MAIN ST.,LEON,IA 50144
2318,,,,303 NICHOLAS DR,MARSHALLTOWN,IA 50158
2319,,,1002 SIXTH ST.,PO BOX 541,NEVADA,IA 50201
2320,,,,510 W MCLANE,OSCEOLA,IA 50213
2321,,,,1305 141ST ST,PERRY,IA 50220
2322,,,,621 BROAD ST.,STORY CITY,IA 50248
2323,,,,1005 EAST HICKMAN,WAUKEE,IA 50263
2324,,,,118-120 N 1ST AVE,WINTERSET,IA 50273
2325,,,,4415 DOUGLAS AVE,DES MOINES,IA 50310
2326,,,,104 E EUCLID AVE,DES MOINES,IA 50313
2327,,,,1801 HICKMAN ROAD,DES MOINES,IA 50314
2328,,,,1111 6TH AVENUE,DES MOINES,IA 50314
2329,,,,1300 EAST 14TH STREET,DES MOINES,IA 50316
2330,,,,2545 E EUCLID,DES MOINES,IA 50317
2331,,,,3140 SE 14TH ST,DES MOINES,IA 50320
2332,,,,12753 UNIVERSITY AVE,CLIVE,IA 50325
2333,,,,4927 MAPLE DR,PLEASANT HILL,IA 50327
2334,,,,910 N EISENHOWER AVE.,MASON CITY,IA 50401
2335,,,,52 MAIN AVENUE NORTH,BRITT,IA 50423
2336,,,,1907 US HIGHWAY 18 EAST,CLEAR LAKE,IA 50428
2337,,,,1114 CENTRAL AVENUE,FORT DODGE,IA 50501
2338,,,802 KENYON ROAD,SUITE 120,FORT DODGE,IA 50501
2339,,,,1519 SOUTH PHILLIPS,ALGONA,IA 50511
2340,,,,215 13TH AVENUE SW,CLARION,IA 50525
2341,,,,210 N. MAIN STREET,CLARION,IA 50525
2342,,,311 W BROADWAY,BOX 331,EAGLE GROVE,IA 50533
2343,,,,3402 MAIN ST,EMMETSBURG,IA 50536
2344,,,,1000 15TH ST N,HUMBOLDT,IA 50548
2345,,,,1310 10TH AVE. N.,HUMBOLDT,IA 50548
2346,,,,701 W ELM AVENUE,POCAHONTAS,IA 50574
2347,,,,848 SECOND ST,WEBSTER CITY,IA 50595
2348,,,,722 MAIN ST.,ACKLEY,IA 50601
2349,,,,5100 PRAIRIE PARKWAY STE 106,CEDAR FALLS,IA 50613
2350,,,STUDENT HEALTH CTR UNIV OF N IOWA,23RD ST,CEDAR FALLS,IA 50614
2351,,,,110 CENTER STREET,CONRAD,IA 50621
2352,,,HARTIG DRUG CO #14,200 FIRST STREET EAST,INDEPENDENCE,IA 50644
2353,,,,1600 FIRST STREET EAST,INDEPENDENCE,IA 50644
2354,,,,1094 220TH STREET,JESUP,IA 50648
2355,,,,601 HIGHWAY 218 NORTH,LA PORTE CITY,IA 50651
2356,,,1 WEST MAIN,P.O.BOX 111,NEW HAMPTON,IA 50659
2357,,,,100 EAST 1ST STREET,SUMNER,IA 50674
2358,,,,500 SECOND ST.,TRAER,IA 50675
2359,,,,312 9TH SW,WAVERLY,IA 50677
2360,,,110 10TH ST SW,PO BOX 785,WAVERLY,IA 50677
2361,,,,111 W RIDGEWAY AVE,WATERLOO,IA 50701
2362,,,2710 ST FRANCIS DR,STE. 101,WATERLOO,IA 50702
2363,,,,2104 KIMBALL AVE.,WATERLOO,IA 50702
2364,,,146 WEST DALE ST,STE 103,WATERLOO,IA 50703
2365,,,419 MAIN ST,PO BOX 66,BEDFORD,IA 50833
2366,,,,625 DAVIS AVE,CORNING,IA 50841
2367,,,,202 SW KENT ST,GREENFIELD,IA 50849
2368,,,,107 N MAIN ST,LENOX,IA 50851
2369,,,,201 N FILLMORE ST,MOUNT AYR,IA 50854
2370,,,903 CENTRAL AVENUE,PO BOX 233,HAWARDEN,IA 51023
2371,,,7 W SECOND ST,PO BOX 280,KINGSLEY,IA 51028
2372,,,,411 MAIN STREET,MAPLETON,IA 51034
2373,,,,528 S 3RD ST,MOVILLE,IA 51039
2374,,,,2220 HWY 175,ONAWA,IA 51040
2375,,,,821 IOWA AVE,ONAWA,IA 51040
2376,,,,127 N. MAIN STREET,PAULLINA,IA 51046
2377,,,105 GAUL DR,SUITE A,SERGEANT BLUFF,IA 51054
2378,,,,1900 HAMILTON BLVD,SIOUX CITY,IA 51104
2379,,,610 PARK STREET,P.O. BOX 455,SHELDON,IA 51201
2380,,,,1044 MAIN ST,HULL,IA 51239
2381,,,,106 N. BOONE STREET,ROCK RAPIDS,IA 51246
2382,,,,1200 21ST AVENUE,ROCK VALLEY,IA 51247
2383,,,,1319 10TH STREET,ROCK VALLEY,IA 51247
2384,,,,420 SECOND AVE,SIBLEY,IA 51249
2385,,,,143 S MAIN AVE,SIOUX CENTER,IA 51250
2386,,,,1101 9 TH ST SE,SIOUX CENTER,IA 51250
2387,,,,715 S GRAND AVENUE,SPENCER,IA 51301
2388,,,,826 N 8TH STREET,ESTHERVILLE,IA 51334
2389,,,130 3RD ST NE,SUITE A,HARTLEY,IA 51346
2390,,,,2301 HIGHWAY 71 SOUTH,SPIRIT LAKE,IA 51360
2391,,,LEWIS FAMILY DRUG LLC,2202 17TH ST,SPIRIT LAKE,IA 51360
2392,,,425 HIGHWAY 30 WEST STE. 140,PO BOX 157,CARROLL,IA 51401
2393,,,,1320 BROADWAY,DENISON,IA 51442
2394,,,,401 SECOND ST,IDA GROVE,IA 51445
2395,,,,1321 WEST MAIN,LAKE CITY,IA 51449
2396,,,,317 MAIN,MANNING,IA 51455
2397,,,,1550 SIXTH ST,MANNING,IA 51455
2398,,,,902 SOUTH 6TH STREET,COUNCIL BLUFFS,IA 51501
2399,,,3135 W BROADWAY,SUITE 101,COUNCIL BLUFFS,IA 51501
2400,,,,2508 W BROADWAY,COUNCIL BLUFFS,IA 51501
2401,,,,235 WEST BROADWAY,COUNCIL BLUFFS,IA 51503
2402,,,,1141 NORTH BROADWAY,COUNCIL BLUFFS,IA 51503
2403,,,,535 E. BROADWAY,COUNCIL BLUFFS,IA 51503
2404,,,,902 S LOCUST ST,GLENWOOD,IA 51534
2405,,,DBA PEXTON PHARMACY,1812 CHATBURN PLAZA,HARLAN,IA 51537
2406,,,103 NORTH 4TH AVE,P O BOX 187,LOGAN,IA 51546
2407,,,,500 S. FREMONT STREET,SHENANDOAH,IA 51601
2408,,,,157 LOCUST ST,DUBUQUE,IA 52001
2409,,,,1600 UNIVERSITY AVE,DUBUQUE,IA 52001
2410,,,,2225 CENTRAL AVE,DUBUQUE,IA 52001
2411,,,MERCY HEALTH SERVICES IOWA,1920 ELM STREET,DUBUQUE,IA 52001
2412,,,,2255 JOHN F KENNEDY ROAD,DUBUQUE,IA 52002
2413,,,,55 J F KENNEDY RD,DUBUQUE,IA 52002
2414,,,STONE CREEK SHOPPING CENTER,711 16TH AVE SE,DYERSVILLE,IA 52040
2415,,,,135 N MAIN ST,ELKADER,IA 52043
2416,,,200 MAIN ST,SUITE 1,GUTTENBERG,IA 52052
2417,,,,918 W PLATT #2,MAQUOKETA,IA 52060
2418,,,,104 WEST MISSION ST,STRAWBERRY POINT,IA 52076
2419,,,,201 W. WATER ST,DECORAH,IA 52101
2420,,,,702 MONTGOMERY STREET,DECORAH,IA 52101
2421,,,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,235 8TH AVENUE WEST,CRESCO,IA 52136
2422,,,238 S MAIN,PO BOX 188,FAYETTE,IA 52142
2423,,,,21 WEST MAIN STREET,WAUKON,IA 52172
2424,,,,119 N VINE,WEST UNION,IA 52175
2425,,,,810 12TH ST,BELLE PLAINE,IA 52208
2426,,,3526 DOLPHIN DRIVE,SE,IOWA CITY,IA 52240
2427,,,,2214 MUSCATINE AVE,IOWA CITY,IA 52240
2428,,,1150 FIFTH ST.,STE. 142,CORALVILLE,IA 52241
2429,,,,105 E 9TH ST,CORALVILLE,IA 52241
2430,,,4105 WESTCOR CT.,STE. 1,CORALVILLE,IA 52241
2431,,,PHARMACY DEPARTMENT,200 HAWKINS DRIVE,IOWA CITY,IA 52242
2432,,,,701 MORMON TREK BLVD,IOWA CITY,IA 52246
2433,,,,419 E 1ST ST,MONTICELLO,IA 52310
2434,,,3056 RIVER CROSSING COURT,SUITE A,RIVERSIDE,IA 52327
2435,,,,517 COURT ST.,WILLIAMSBURG,IA 52361
2436,,,,1946 42ND STREET N.E.,CEDAR RAPIDS,IA 52402
2437,,,,3325 16TH AVENUE SW,CEDAR RAPIDS,IA 52404
2438,,,,107 W MAIN,OTTUMWA,IA 52501
2439,,,,106 SMITH ST,BLOOMFIELD,IA 52537
2440,,,,1300 WEST BURLINGTON AVENUE,FAIRFIELD,IA 52556
2441,,,2000 D SOUTH MAIN STREET,PO BOX 1027,FAIRFIELD,IA 52556
2442,,,,"110 S ""D"" STREET",OSKALOOSA,IA 52577
2443,,,,"2606 ""L"" AVE",FORT MADISON,IA 52627
2444,,,,1201 W AGENCY ROAD,WEST BURLINGTON,IA 52655
2445,,,,1726 N 2ND ST,CLINTON,IA 52732
2446,,,,629 6TH AVE,DE WITT,IA 52742
2447,,,,129 W LOCUST ST,DAVENPORT,IA 52803
2448,,,,1660 W LOCUST ST,DAVENPORT,IA 52804
2449,,,,1525 E KIMBERLY RD,DAVENPORT,IA 52807
2450,,,,15650 W GREENFIELD AVE,BROOKFIELD,WI 53005
2451,,,,110 W. MAIN ST.,CAMPBELLSPORT,WI 53010
2452,,,150 N. PATRICK BLVD,SUITE 250,BROOKFIELD,WI 53045
2453,,,,N83W15701 APPLETON AVE,MENOMONEE FALLS,WI 53051
2454,,,,791 SUMMIT AVE,OCONOMOWOC,WI 53066
2455,,,,1021 SUMMIT AVE.,OCONOMOWOC,WI 53066
2456,,,,1029 N 14TH ST,SHEBOYGAN,WI 53081
2457,,,3207 80TH STREET,SUITE 100,KENOSHA,WI 53142
2458,,,,3805 80TH ST.,KENOSHA,WI 53142
2459,,,,2720 SOUTH 163RD STREET,NEW BERLIN,WI 53151
2460,,,,1701 SHARP ROAD,WATERFORD,WI 53185
2461,,,,1111 DELAFIELD STREET SUITE 109,WAUKESHA,WI 53188
2462,,,,N16W24131 RIVERWOOD DR,WAUKESHA,WI 53188
2463,,,,725 AMERICAN AVE,WAUKESHA,WI 53188
2464,,,,1919 W NORTH AVE,MILWAUKEE,WI 53205
2465,,,,3701 S HOWELL AVE,MILWAUKEE,WI 53207
2466,,,,5928 W. VLIET ST.,MILWAUKEE,WI 53208
2467,,,,3522 W WISCONSIN,MILWAUKEE,WI 53208
2468,,,,5308 W BURLEIGH ST,MILWAUKEE,WI 53210
2469,,,,4296 S 76TH STREET,GREENFIELD,WI 53220
2470,,,,7600 W CAPITOL DRIVE,MILWAUKEE,WI 53222
2471,,,,8500 W. CAPITOL DR.,MILWAUKEE,WI 53222
2472,,,,6442 N 76TH STREET,MILWAUKEE,WI 53223
2473,,,,4810 WASHINGTON AVE,RACINE,WI 53406
2474,,,,1969 WEST HART RD,BELOIT,WI 53511
2475,,,,1028 FIRST CENTER AVENUE,BRODHEAD,WI 53520
2476,,,,1717 MILTON AVENUE,JANESVILLE,WI 53545
2477,,,,1571 IVORY DRIVE,SUN PRAIRIE,WI 53590
2478,,,,3710 E WASHINGTON AVE,MADISON,WI 53704
2479,,,,7810 MINERAL POINT RD,MADISON,WI 53717
2480,,,,4602 EASTPARK BLVD,MADISON,WI 53718
2481,,,,620 W. BROWN,WAUPUN,WI 53963
2482,,,,265 E GRIFFIN ST,AMERY,WI 54001
2483,,,,405 STAGELINE ROAD,HUDSON,WI 54016
2484,,,,535 HOSPITAL RD,NEW RICHMOND,WI 54017
2485,,,710 MAIN STREET,P.O. BOX 488,CRIVITZ,WI 54114
2486,,,15481 COMMERCIAL RD,SUITE A,LAKEWOOD,WI 54138
2487,,,,2301 HALL AVE,MARINETTE,WI 54143
2488,,,,1650 S 41 ST,MANITOWOC,WI 54220
2489,,,,744 SOUTH WEBSTER AVENUE,GREEN BAY,WI 54301
2490,,,,1561 W. MASON ST.,GREEN BAY,WI 54303
2491,,,1630 COMMANCHE AVENUE,SUITE 102,GREEN BAY,WI 54313
2492,,,,2727 PLAZA DRIVE,WAUSAU,WI 54401
2493,,,,105 CENTRAL BRIDGE ST,WAUSAU,WI 54401
2494,,,W12802 COUNTY HWY A,P.O. BOX 86,BOWLER,WI 54416
2495,,,,1000 NORTH OAK AVENUE,MARSHFIELD,WI 54449
2496,,,630 SOUTH CENTRAL AVENUE,PO BOX 8,MARSHFIELD,WI 54449
2497,,,,1205 O'DAY STREET,MERRILL,WI 54452
2498,,,,390 ORBITING DRIVE,MOSINEE,WI 54455
2499,,,,3501 CRANBERRY BOULEVARD,WESTON,WI 54476
2500,,,8201 MISH KO SWEN ROAD,P.O. BOX 396,CRANDON,WI 54520
2501,,,,129 OLD ABE ROAD,LAC DU FLAMBEAU,WI 54538
2502,,,,5110 N. HWY 51,MERCER,WI 54547
2503,,,9601 TOWNLINE ROAD,P.O.BOX 1390,MINOCQUA,WI 54548
2504,,,,528 CASS ST.,LA CROSSE,WI 54601
2505,,,,1836 SOUTH AVENUE,LA CROSSE,WI 54601
2506,,,,900 WEST AVE S,LA CROSSE,WI 54601
2507,,,,3111 GUNDERSEN DRIVE,ONALASKA,WI 54650
2508,,,,3501 GOLF ROAD,EAU CLAIRE,WI 54701
2509,,,,2116 CRAIG ROAD,EAU CLAIRE,WI 54701
2510,,,,2200 BRACKET AVE,EAU CLAIRE,WI 54701
2511,,,,1000 STARR AVENUE,EAU CLAIRE,WI 54703
2512,,,,2655 CTY HWY I,CHIPPEWA FALLS,WI 54729
2513,,,,535 EAST DIVISION AVENUE,BARRON,WI 54812
2514,,,,36745 AIKEN RD.,BAYFIELD,WI 54814
2515,,,,257 W ST GEORGE AVE,GRANTSBURG,WI 54840
2516,,,11134 N HWY 77,SUITE A,HAYWARD,WI 54843
2517,,,,906 COLLEGE AVENUE WEST,LADYSMITH,WI 54848
2518,,,,1700 W. STOUT STREET,RICE LAKE,WI 54868
2519,,,2202 E 2ND STREET,SUITE 477,SUPERIOR,WI 54880
2520,,,3500 TOWER AVENUE,SUITE A,SUPERIOR,WI 54880
2521,,,,729 W. NORTHLAND AVE.,APPLETON,WI 54914
2522,,,,700 WEST WISCONSIN AVE.,APPLETON,WI 54914
2523,,,DEPARTMENT OF PHARMACY,430 EAST DIVISION STREET,FOND DU LAC,WI 54935
2524,,,155 N MAIN STREET,PO BOX 284,IOLA,WI 54945
2525,,,,845 PARKSIDE STREET,RIPON,WI 54971
2526,,,,7135 E POINT DOUGLAS RD SOUTH,COTTAGE GROVE,MN 55016
2527,,,PHARMACY,1601 STATE AVE NW,OWATONNA,MN 55060
2528,,,,1425 MAIN ST. N,PINE CITY,MN 55063
2529,,,707 LUNDORFF DRIVE SOUTH,SUITE 2,SANDSTONE,MN 55072
2530,,,,1500 CURVE CREST BLVD,STILLWATER,MN 55082
2531,,,,927 WEST CHURCHILL STREET,STILLWATER,MN 55082
2532,,,166 4TH STREET E,STE 244,SAINT PAUL,MN 55101
2533,,,OUTPATIENT,640 JACKSON STREET,ST PAUL,MN 55101
2534,,,,499 SNELLING AVE. N.,ST PAUL,MN 55104
2535,,,,895 EAST 7TH STREET,SAINT PAUL,MN 55106
2536,,,,810 MARYLAND AVENUE EAST,ST PAUL,MN 55106
2537,,,,205 SOUTH WABASHA,W SAINT PAUL,MN 55107
2538,,,,153 CESAR CHAVEZ ST,ST PAUL,MN 55107
2539,,,,2500 COMO AVE,SAINT PAUL,MN 55108
2540,,,,2165 WHITE BEAR AVENUE,MAPLEWOOD,MN 55109
2541,,,,1430 HIGHWAY 96,WHITE BEAR LAKE,MN 55110
2542,,,PHARMACY,3930 NORTHWOODS DRIVE,ARDEN HILLS,MN 55112
