,address,postal,state,city,geo,newURL,googleMapsUrl
3608, PO BOX 90,14059,NY, ELMA,"-78.63681,42.831383",,http://maps.google.com/maps?q=J%20RUTOWSKI%20OF%20ELMA%20INC%2C2317%20BOWEN%20RD%2C+ELMA%2C+NY+14059
3609, PO BOX 228,62690,IL, VIRDEN,"-89.76758,39.501686",,http://maps.google.com/maps?q=JAC%20STORES%2C105%20EAST%20JACKSON%20STREET%2C+VIRDEN%2C+IL+62690
3610, 110 EAST STATE,62075,IL, NOKOMIS,,"https://www.google.com/maps/place/Sav-Mor+Drug/@39.3013653,-89.2872112,17z/data=!3m1!4b1!4m5!3m4!1s0x88745634cb17c865:0xe9a4f8fe9d453961!8m2!3d39.3013653!4d-89.2850225",http://maps.google.com/maps?q=JAC%20STORES%2CDBA%20SAV-MOR%20DRUG%2C+NOKOMIS%2C+IL+62075
3611, 73-21 37TH ROAD,11372,NY, JACKSON HEIGHTS,,"https://www.google.com/maps/place/Bangladesh+Farmacia/@40.7484723,-73.8924611,15z/data=!4m8!1m2!2m1!1sJACKSON+HEIGHTS+DRUGS+INC,BANGLADESH+FARMACIA,+JACKSON+HEIGHTS,+NY+11372!3m4!1s0x89c25f072bcd4bf1:0xa8c2c25aff1782e9!8m2!3d40.7473041!4d-73.8917048","https://www.google.com/maps/place/Bangladesh+Farmacia/@40.7484723,-73.8924611,15z/data=!4m8!1m2!2m1!1sJACKSON+HEIGHTS+DRUGS+INC,BANGLADESH+FARMACIA,+JACKSON+HEIGHTS,+NY+11372!3m4!1s0x89c25f072bcd4bf1:0xa8c2c25aff1782e9!8m2!3d40.7473041!4d-73.8917048"
3612, PO BOX 395,16134,PA, JAMESTOWN,"-80.44175,41.48458",,http://maps.google.com/maps?q=JAMESTOWN%20PHARMACY%2C121%20LIBERTY%20STREET%2C+JAMESTOWN%2C+PA+16134
3613, SUITE A,95691,CA, WEST SACRAMENTO,,"https://www.google.com/maps/place/Jefferson+Pharmacy/@38.5740318,-121.5260865,17z/data=!3m1!4b1!4m5!3m4!1s0x809ad14d0873224b:0x20e847ad65402078!8m2!3d38.5740318!4d-121.5238978",http://maps.google.com/maps?q=JEFFERSON%20PHARMACY%2C1029%20JEFFERSON%20BOULEVARD%2C+WEST%20SACRAMENTO%2C+CA+95691
3614, P.O. BOX 599,68450,NE, TECUMSEH,"-96.197266,40.379185",,http://maps.google.com/maps?q=JOHNSON%20COUNTY%20HOSPITAL%2C202%20HIGH%20STREET%2C+TECUMSEH%2C+NE+68450
3620, 280 EXEMPLA CIR,80026,CO, LAFAYETTE,,"https://www.google.com/maps/place/Kaiser+Permanente+Rock+Creek+Medical+Offices/@39.9695277,-105.0883511,17z/data=!3m1!4b1!4m5!3m4!1s0x876bf4d39bf25371:0x116eed1d358c2d92!8m2!3d39.9695277!4d-105.0861624","https://www.google.com/maps/place/Kaiser+Permanente+Rock+Creek+Medical+Offices/@39.9695277,-105.0883511,17z/data=!3m1!4b1!4m5!3m4!1s0x876bf4d39bf25371:0x116eed1d358c2d92!8m2!3d39.9695277!4d-105.0861624"
3621, 16290 E QUINCY AVENUE,80015,CO, AURORA,,"https://www.google.com/maps/place/Kaiser+Permanente+Smoky+Hill+Medical+Offices/@39.6379318,-104.8022435,17z/data=!3m1!4b1!4m5!3m4!1s0x876c88fe3fa901bd:0xc70a07d647554c6f!8m2!3d39.6379318!4d-104.8000548",http://maps.google.com/maps?q=KAISER%20FOUNDATION%20HEALTH%20PLAN%2CDBA%20KAISER%20PERMANENTE%20SMOKY%20HILL%20PHARMACY%2C+AURORA%2C+CO+80015
3628, 2345 BENT WAY,80503,CO, LONGMONT,,"https://www.google.com/maps/place/Kaiser+Permanente+Longmont+Medical+Offices+-+Longmont/@40.1489296,-105.134821,17z/data=!3m1!4b1!4m5!3m4!1s0x876bfa25d8e2ad43:0xa8666496e6811cd9!8m2!3d40.1489296!4d-105.1326323","https://www.google.com/maps/place/Kaiser+Permanente+Longmont+Medical+Offices+-+Longmont/@40.1489296,-105.134821,17z/data=!3m1!4b1!4m5!3m4!1s0x876bfa25d8e2ad43:0xa8666496e6811cd9!8m2!3d40.1489296!4d-105.1326323"
3634, 1400 POTTERY AVENUE,98366,WA, PORT ORCHARD,,"https://www.google.com/maps/place/Port+Orchard+Medical+Center+%7C+Kaiser+Permanente+Washington/@47.526409,-122.656126,17z/data=!3m1!4b1!4m5!3m4!1s0x549036311bec4281:0xe0e08ace633d59af!8m2!3d47.526409!4d-122.6539373","https://www.google.com/maps/place/Port+Orchard+Medical+Center+%7C+Kaiser+Permanente+Washington/@47.526409,-122.656126,17z/data=!3m1!4b1!4m5!3m4!1s0x549036311bec4281:0xe0e08ace633d59af!8m2!3d47.526409!4d-122.6539373"
3635, 19379 7TH AVE NE,98370,WA, POULSBO,,"https://www.google.com/maps/place/Poulsbo+Medical+Center+%7C+Kaiser+Permanente+Washington/@47.738641,-122.6449697,17z/data=!3m1!4b1!4m5!3m4!1s0x549023a1da0b2c7b:0xebab4433b9b5631b!8m2!3d47.738641!4d-122.642781","https://www.google.com/maps/place/Poulsbo+Medical+Center+%7C+Kaiser+Permanente+Washington/@47.738641,-122.6449697,17z/data=!3m1!4b1!4m5!3m4!1s0x549023a1da0b2c7b:0xebab4433b9b5631b!8m2!3d47.738641!4d-122.642781"
3638, FL 1,90027,CA, LOS ANGELES,"-118.29542,34.09815",,http://maps.google.com/maps?q=KAISER%20PERMANENTE%20PHARMACY%2C4867%20SUNSET%20BLVD%2C%20FL%201%2C+LOS%20ANGELES%2C+CA+90027
3639, 1ST FL,92563,CA, MURRIETA,,"https://www.google.com/maps/place/Kaiser+Permanente+Murrieta+Medical+Center/@33.6304929,-117.1716467,17z/data=!3m1!4b1!4m5!3m4!1s0x80db7d54bf3c9f4b:0x286513b2df6f6174!8m2!3d33.6304929!4d-117.169458","https://www.google.com/maps/place/Kaiser+Permanente+Murrieta+Medical+Center/@33.6304929,-117.1716467,17z/data=!3m1!4b1!4m5!3m4!1s0x80db7d54bf3c9f4b:0x286513b2df6f6174!8m2!3d33.6304929!4d-117.169458"
3641, SUITE 145,95066,CA, SCOTTS VALLEY,"-122.00747,37.06157",,http://maps.google.com/maps?q=KAISER%20PERMANENTE%20PHARMACY%2C5615%20SCOTTS%20VALLEY%20DR%2C+SCOTTS%20VALLEY%2C+CA+95066
3642, 1ST FL,93036,CA, OXNARD,,"https://www.google.com/maps/place/Kaiser+Permanente+Oxnard+Pharmacy/@34.2180468,-119.1509694,17z/data=!3m1!4b1!4m5!3m4!1s0x80e84c0e301701bd:0x9eb4f4af81880f6!8m2!3d34.2180468!4d-119.1487807","https://www.google.com/maps/place/Kaiser+Permanente+Oxnard+Pharmacy/@34.2180468,-119.1509694,17z/data=!3m1!4b1!4m5!3m4!1s0x80e84c0e301701bd:0x9eb4f4af81880f6!8m2!3d34.2180468!4d-119.1487807"
3645,1227 US HWY 127 S,40601,KY, FRANKFORT,"-84.89895,38.17196",,http://maps.google.com/maps?q=KENTUCKY%20CVS%20PHARMACY%20LLC%2C1227%20US%20HWY%20127%20S%2C+FRANKFORT%2C+KY+40601
3646,1571 N DIXIE AVENUE,42701,KY, ELIZABETHTOWN,,"https://www.google.com/maps/place/CVS/@37.7281499,-85.8851869,17z/data=!3m1!4b1!4m5!3m4!1s0x8868e88d89170725:0x414a55c836cd8343!8m2!3d37.7281499!4d-85.8829982","https://www.google.com/maps/place/CVS/@37.7281499,-85.8851869,17z/data=!3m1!4b1!4m5!3m4!1s0x8868e88d89170725:0x414a55c836cd8343!8m2!3d37.7281499!4d-85.8829982"
3649,3097 TODDS RD.,40509,KY, LEXINGTON,"-84.42471,38.009438",,http://maps.google.com/maps?q=KENTUCKY%20CVS%20PHARMACY%20LLC%2C3097%20TODDS%20RD.%2C+LEXINGTON%2C+KY+40509
3653,560 N ESTRELLA PKWY STE B9 B10,85338,AZ, GOODYEAR,"-112.39253,33.448277",,http://maps.google.com/maps?q=KEY%20HEALTH%20PHARMACY%20LLC%2C560%20N%20ESTRELLA%20PKWY%20STE%20B9%20B10%2C+GOODYEAR%2C+AZ+85338
3654," BLDG M, P O BOX 1059",74851,OK, MCLOUD,,"https://www.google.com/maps/place/Kickapoo+Tndian+Health+Center/@35.4491764,-97.0911761,17z/data=!3m1!4b1!4m5!3m4!1s0x87b3cb5243134457:0xccb004b20b43d8f6!8m2!3d35.4491764!4d-97.0889874",http://maps.google.com/maps?q=KICKAPOOIHS%20HEALTH%20CENTER%2C105365%20S%20HWY%20102%2C%20BLDG%20M%2C+MCLOUD%2C+OK+74851
3655, 192 SOUTH 7TH ST,78580,TX, RAYMONDVILLE,,"https://www.google.com/maps/place/Watson's+City+Drug/@26.4811192,-97.7849934,17z/data=!3m1!4b1!4m5!3m4!1s0x866f6207abf852c9:0x9b6c42572e11dad9!8m2!3d26.4811192!4d-97.7828047",http://maps.google.com/maps?q=KIEFER%20INC%2CDBA%3A%20WATSONS%20CITY%2C+RAYMONDVILLE%2C+TX+78580
3658,613 23RD STREET SUITE 110,41101,KY, ASHLAND,"-82.63295,38.47116",,http://maps.google.com/maps?q=KINGS%20DAUGHTERS%2C613%2023RD%20STREET%20SUITE%20110%2C+ASHLAND%2C+KY+41101
3660, PO BOX 99,98328,WA, EATONVILLE,,"https://www.google.com/maps/place/Kirk's+Pharmacy/@46.8676206,-122.2691091,17z/data=!3m1!4b1!4m5!3m4!1s0x54912371f66c925b:0xe3ca678ea0810ad!8m2!3d46.8676206!4d-122.2669204",http://maps.google.com/maps?q=KIRKS%20PHARMACY%2C104%20MASHELL%20AVE%20NORTH%2C+EATONVILLE%2C+WA+98328
3661, SUITE 204,98374,WA, PUYALLUP,"-122.27674,47.097168",,http://maps.google.com/maps?q=KIRKS%20PHARMACY%20AT%20SUNRISE%2C11212%20SUNRISE%20BLVD%20E%2C%20SUITE%20204%2C+PUYALLUP%2C+WA+98374
3663, 20148 10TH AVE NE,98370,WA, POULSBO,,"https://www.google.com/maps/place/Central+Market+Poulsbo/@47.746109,-122.6367667,19.5z/data=!4m5!3m4!1s0x549023a51c78aeb9:0xe3719ee4623e7f42!8m2!3d47.7462783!4d-122.6365829",http://maps.google.com/maps?q=KITSAP%20PHARMACY%20AT%20THE%2CCENTRAL%20MARKET%2C+POULSBO%2C+WA+98370
3664, 1017 ELLINGTON STREET,93215,CA, DELANO,,"https://www.google.com/maps/place/Komoto+Pharmacy/@35.7688735,-119.2540588,17z/data=!3m1!4b1!4m5!3m4!1s0x80eae594f9ff96f9:0x383e880aa171e3f1!8m2!3d35.7688735!4d-119.2518701",http://maps.google.com/maps?q=KOMOTO%20PHARMACY%2CKOMOTO%20PHARMACY%2C+DELANO%2C+CA+93215
3666,1115 WEST MAIN STREET STE E-1,93458,CA, SANTA MARIA,"-120.45196,34.953354",,http://maps.google.com/maps?q=LA%20JOYA%20PHARMACY%2C1115%20WEST%20MAIN%20STREET%20STE%20E-1%2C+SANTA%20MARIA%2C+CA+93458
3669, P.O. BOX 609,81140,CO, LA JARA,"-105.96029,37.27496",,http://maps.google.com/maps?q=LAJARA%20PHARMACEUTICAL%20CENTER%2C412%20MAIN%20STREET%2C+LA%20JARA%2C+CO+81140
3670, SUITE 1A,78738,TX, BEE CAVE,,"https://www.google.com/maps/place/Lake+Hills+Pharmacy/@30.3079434,-97.9283063,17z/data=!3m1!4b1!4m5!3m4!1s0x865b37c87dc71377:0xf69ccdb2217d7cbd!8m2!3d30.3079434!4d-97.9261176",http://maps.google.com/maps?q=LAKE%20HILLS%20PHARMACY%2C12005%20BEE%20CAVE%20ROAD%2C+BEE%20CAVE%2C+TX+78738
3671,2301 HIGHWAY 71 SOUTH,51360,IA, SPIRIT LAKE,,"https://www.google.com/maps/place/Lakes+Regional+Healthcare/@43.4201555,-95.1311536,14z/data=!4m8!1m2!2m1!1sLAKES+REGIONAL+HEALTHCARE,2301+HIGHWAY+71+SOUTH,+SPIRIT+LAKE,+IA+51360!3m4!1s0x878cb4382e9762bd:0x60060cef0f492c2a!8m2!3d43.4177117!4d-95.125057","https://www.google.com/maps/place/Lakes+Regional+Healthcare/@43.4201555,-95.1311536,14z/data=!4m8!1m2!2m1!1sLAKES+REGIONAL+HEALTHCARE,2301+HIGHWAY+71+SOUTH,+SPIRIT+LAKE,+IA+51360!3m4!1s0x878cb4382e9762bd:0x60060cef0f492c2a!8m2!3d43.4177117!4d-95.125057"
3673,927 WEST CHURCHILL STREET,55082,MN, STILLWATER,,"https://www.google.com/maps/place/Lakeview+Hospital/@45.047045,-92.8205034,17z/data=!3m1!4b1!4m5!3m4!1s0x52b2c984e7c6fe0b:0xe8efee4e185166bf!8m2!3d45.047045!4d-92.8183147",http://maps.google.com/maps?q=LAKEVIEW%20MEM%20HOSP%20ASSOC%20INC%2C927%20WEST%20CHURCHILL%20STREET%2C+STILLWATER%2C+MN+55082
3676,623 MC LEAN AVE,10705,NY, YONKERS,"-73.879654,40.90938",,http://maps.google.com/maps?q=LEMAC%20PHARMACY%20INC%2C623%20MC%20LEAN%20AVE%2C+YONKERS%2C+NY+10705
3678,111 CALUMET AVE SW,57231,SD, DE SMET,"-97.54898,44.387115",,http://maps.google.com/maps?q=LEWIS%20FAMILY%20DRUG%2C111%20CALUMET%20AVE%20SW%2C+DE%20SMET%2C+SD+57231
3680,104 W PARK AVENUE,57070,SD, VIBORG,"-97.0817,43.17029",,http://maps.google.com/maps?q=LEWIS%20FAMILY%20DRUG%2C104%20W%20PARK%20AVENUE%2C+VIBORG%2C+SD+57070
3681,741 SOUTH WASHINGTON AVE,57042,SD, MADISON,,"https://www.google.com/maps/place/Lewis/@43.9983848,-97.1131459,17z/data=!3m1!4b1!4m5!3m4!1s0x8788e28df70691b3:0xc3449306e0ca56d0!8m2!3d43.9983848!4d-97.1109572",http://maps.google.com/maps?q=LEWIS%20MADISON%20DRUG%2C741%20SOUTH%20WASHINGTON%20AVE%2C+MADISON%2C+SD+57042
3686, SUITE 104B,95242,CA, LODI,,"https://www.google.com/maps/place/Adventist+Health+Lodi+Memorial+Pharmacy/@38.1236058,-121.307218,17z/data=!3m1!4b1!4m5!3m4!1s0x809aa061970a9d5b:0x69dbe00ae1b2d7b1!8m2!3d38.1236058!4d-121.3050293",http://maps.google.com/maps?q=LODI%20HEALTH%20PHARMACY%20WEST%2C2415.%20W.%20VINE%2C+LODI%2C+CA+95242
3692,2 W FERN AVE,92373,CA, REDLANDS,"-117.17894,34.050377",,http://maps.google.com/maps?q=LONGS%20DRUG%20STORES%20CALIFORNIA%20LLC%2C2%20W%20FERN%20AVE%2C+REDLANDS%2C+CA+92373
3698,783 RIO DEL MAR BLVD STE 3,95003,CA, APTOS,"-121.88811,36.974007",,http://maps.google.com/maps?q=LONGS%20DRUG%20STORES%20CALIFORNIA%20LLC%2C783%20RIO%20DEL%20MAR%20BLVD%20STE%203%2C+APTOS%2C+CA+95003
3703, PO BOX 128,14739,NY, FRIENDSHIP,"-78.13412,42.207794",,http://maps.google.com/maps?q=MARKS%20JEFFREY%20A%2C9%20WEST%20MAIN%20STREET%2C+FRIENDSHIP%2C+NY+14739
3704, PO BOX 229,12047,NY, COHOES,"-73.7005,42.7709",,http://maps.google.com/maps?q=MARRAS%20PHARMACY%2C217%20REMSEN%20STREET%2C+COHOES%2C+NY+12047
3710,2601 RIVA RD.,21401,MD, ANNAPOLIS,"-76.55564,38.9761",,http://maps.google.com/maps?q=MARYLAND%20CVS%20PHARMACY%20LLC%2C2601%20RIVA%20RD.%2C+ANNAPOLIS%2C+MD+21401
3715,402 SO. JEFFERSON STREET,21701,MD, FREDERICK,"-77.42938,39.407505",,http://maps.google.com/maps?q=MARYLAND%20CVS%20PHARMACY%20LLC%2C402%20SO.%20JEFFERSON%20STREET%2C+FREDERICK%2C+MD+21701
3716, SILVER HILL PLAZA,20747,MD, DISTRICT HEIGHTS,"-76.90941,38.85351",,http://maps.google.com/maps?q=MARYLAND%20CVS%20PHARMACY%20LLC%2C5870%20SILVER%20HILL%20RD%2C+DISTRICT%20HEIGHTS%2C+MD+20747
3721,7955 TUCKERMAN LANE,20854,MD, ROCKVILLE,"-77.15777,39.040184",,http://maps.google.com/maps?q=MARYLAND%20CVS%20PHARMACY%20LLC%2C7955%20TUCKERMAN%20LANE%2C+ROCKVILLE%2C+MD+20854
3723,9920 KEY WEST AVE,20850,MD, ROCKVILLE,"-77.21048,39.10177",,http://maps.google.com/maps?q=MARYLAND%20CVS%20PHARMACY%20LLC%2C9920%20KEY%20WEST%20AVE%2C+ROCKVILLE%2C+MD+20850
3725, SUITE 130,78410,TX, CORPUS CHRISTI,"-97.63577,27.856403",,http://maps.google.com/maps?q=MEDICAL%20PLAZA%20PHARMACY%20INC%2C13725%20NORTHWEST%20BLVD%2C+CORPUS%20CHRISTI%2C+TX+78410
3727, 200 OHIO ST,14103,NY, MEDINA,,"https://www.google.com/maps/place/Orleans+Community+Health+Medina+Hospital/@43.2217137,-78.3967057,16z/data=!4m8!1m2!2m1!1sMEDINA+MEMORIAL+HOSPITAL+INC,PHARMACY+DEPARTMENT,+MEDINA,+NY+14103!3m4!1s0x0:0x3ff859c3b418640f!8m2!3d43.2234316!4d-78.3972265",http://maps.google.com/maps?q=MEDINA%20MEMORIAL%20HOSPITAL%20INC%2CPHARMACY%20DEPARTMENT%2C+MEDINA%2C+NY+14103
3728, SUITE 1H,84124,UT, SALT LAKE CITY,,"https://www.google.com/maps/place/1220+E+3900+S,+Millcreek,+UT+84124/@40.6861129,-111.8574482,19z/data=!3m1!4b1!4m5!3m4!1s0x875261df6e1786a9:0x3630901443b624a5!8m2!3d40.6861119!4d-111.856901","https://www.google.com/maps/place/1220+E+3900+S,+Millcreek,+UT+84124/@40.6861129,-111.8574482,19z/data=!3m1!4b1!4m5!3m4!1s0x875261df6e1786a9:0x3630901443b624a5!8m2!3d40.6861119!4d-111.856901"
3731,705 SOUTH LEWIS STREET,30439,GA, METTER,"-82.0614,32.384647",,http://maps.google.com/maps?q=METTER%20PHARMACY%2C705%20SOUTH%20LEWIS%20STREET%2C+METTER%2C+GA+30439
3732, ONE WYOMING ST,45409,OH, DAYTON,,"https://www.google.com/maps/place/Miami+Valley+Hospital/@39.7430408,-84.1926701,16z/data=!4m8!1m2!2m1!1sMIAMI+VALLEY+HOSP,DEPT+OF+PHARMACY,+DAYTON,+OH+45409!3m4!1s0x884084029d34c775:0x7fdb37e4b374b852!8m2!3d39.7455071!4d-84.1857844","https://www.google.com/maps/place/Miami+Valley+Hospital/@39.7430408,-84.1926701,16z/data=!4m8!1m2!2m1!1sMIAMI+VALLEY+HOSP,DEPT+OF+PHARMACY,+DAYTON,+OH+45409!3m4!1s0x884084029d34c775:0x7fdb37e4b374b852!8m2!3d39.7455071!4d-84.1857844"
3736, 81 ROCHESTER RD PO BOX 188,14105,NY, MIDDLEPORT,,"https://www.google.com/maps/place/Middleport+Family+Health+Center/@43.2047561,-78.4858069,17z/data=!3m1!4b1!4m5!3m4!1s0x89d38803bbf1a79f:0x419055624ce23607!8m2!3d43.2047561!4d-78.4836182",http://maps.google.com/maps?q=MODENGIROUX%20INC%2CDBA/MIDDLEPORT%20FAMILY%20HEALTH%20C%2C+MIDDLEPORT%2C+NY+14105
3738, P O BOX 67,28124,NC, MOUNT PLEASANT,"-80.436226,35.399445",,http://maps.google.com/maps?q=MOOSE%20DRUG%20CO%2C8374%20WEST%20FRANKLIN%20STREET%2C+MOUNT%20PLEASANT%2C+NC+28124
3739, 620 N PUTNAM STREET,62550,IL, MOWEAQUA,,"https://www.google.com/maps/place/Moweaqua+Pharmacy+%26+Springfield+Clinic/@39.6318638,-89.016674,17z/data=!4m8!1m2!2m1!1sMOWEAQUA+PHARMACY,TERRY+L+TRASTER,+MOWEAQUA,+IL+62550!3m4!1s0x8874960bb5cff1b3:0xb5390f3f47eea27f!8m2!3d39.6318638!4d-89.0144853","https://www.google.com/maps/place/Moweaqua+Pharmacy+%26+Springfield+Clinic/@39.6318638,-89.016674,17z/data=!4m8!1m2!2m1!1sMOWEAQUA+PHARMACY,TERRY+L+TRASTER,+MOWEAQUA,+IL+62550!3m4!1s0x8874960bb5cff1b3:0xb5390f3f47eea27f!8m2!3d39.6318638!4d-89.0144853"
3743, NC BAPTIST HOSPITAL INC,27157,NC, WINSTON SALEM,,"https://www.google.com/maps/place/Wake+Forest+Baptist+Health/@36.0926473,-80.2732853,17z/data=!4m8!1m2!2m1!1sN+C+BAPTIST+HOSP+PHAR,MEDICAL+CENTER+BLVD.,+WINSTON+SALEM,+NC+27157!3m4!1s0x8853aebeaaaaaaab:0x70e0c6dc2ce9ea1c!8m2!3d36.089796!4d-80.268565","https://www.google.com/maps/place/Wake+Forest+Baptist+Health/@36.0926473,-80.2732853,17z/data=!4m8!1m2!2m1!1sN+C+BAPTIST+HOSP+PHAR,MEDICAL+CENTER+BLVD.,+WINSTON+SALEM,+NC+27157!3m4!1s0x8853aebeaaaaaaab:0x70e0c6dc2ce9ea1c!8m2!3d36.089796!4d-80.268565"
3744, SUITE B,58601,ND, DICKINSON,"-102.78973,46.902115",,http://maps.google.com/maps?q=N%20D%20PHARMACY%20INC%2C1761%203RD%20AVENUE%20W%2C%20SUITE%20B%2C+DICKINSON%2C+ND+58601
3745, PO BOX 376,13732,NY, APALACHIN,"-76.151634,42.070347",,http://maps.google.com/maps?q=NEELPATH%20LLC%2C6845%20STATE%20ROUTE%20434%2C+APALACHIN%2C+NY+13732
3746, 120 E MAIN STREET,97845,OR, JOHN DAY,,"https://www.google.com/maps/place/Len's+Drug/@44.4159192,-118.9542318,17z/data=!3m1!4b1!4m5!3m4!1s0x54bb058f41219e7f:0xec2316600e8b821c!8m2!3d44.4159192!4d-118.9520431",http://maps.google.com/maps?q=NELSONS%20CITY%20DRUG%2CDBA%20LEN'S%20DRUG%2C+JOHN%20DAY%2C+OR+97845
3749,100 SPRINGDALE RD,8003,NJ, CHERRY HILL,"-74.97452,39.862045",,http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C100%20SPRINGDALE%20RD%2C+CHERRY%20HILL%2C+NJ+08003
3750,107 EAST FIRST AVENUE,7203,NJ, ROSELLE,"-74.263176,40.660156",,http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C107%20EAST%20FIRST%20AVENUE%2C+ROSELLE%2C+NJ+07203
3751,1099 RTE. 33 HAMILTON SQUARE,8690,NJ, HAMILTON,"-74.66676,40.22847",,http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C1099%20RTE.%2033%20HAMILTON%20SQUARE%2C+HAMILTON%2C+NJ+08690
3752, RAINTREE S/C,7728,NJ, FREEHOLD,"-74.30778,40.24009",,http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C138%20VILLAGE%20CENTER%20DR%2C+FREEHOLD%2C+NJ+07728
3754,24 S. BLACK HORSE PIKE,8059,NJ, MOUNT EPHRAIM,,"https://www.google.com/maps/place/CVS/@39.8805684,-75.0869195,17z/data=!3m1!4b1!4m5!3m4!1s0x89c6ceed2ef475cd:0x8c0bd2244203b990!8m2!3d39.8805684!4d-75.0847308",http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C24%20S.%20BLACK%20HORSE%20PIKE%2C+MOUNT%20EPHRAIM%2C+NJ+08059
3759,307 EGG HARBOR RD,8080,NJ, SEWELL,"-75.08548,39.76399",,http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C307%20EGG%20HARBOR%20RD%2C+SEWELL%2C+NJ+08080
3760,3110 ROUTE 38,8054,NJ, MOUNT LAUREL,,"https://www.google.com/maps/place/CVS/@39.9701777,-74.8755333,17z/data=!3m1!4b1!4m5!3m4!1s0x89c14a02a0eb5929:0x42fde41d361caf62!8m2!3d39.9701777!4d-74.8733446",http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C3110%20ROUTE%2038%2C+MOUNT%20LAUREL%2C+NJ+08054
3762, WEST CALDWELL S/C,7006,NJ, WEST CALDWELL,,"https://www.google.com/maps/place/CVS/@40.849139,-74.2987946,17z/data=!3m1!4b1!4m5!3m4!1s0x89c300bad9e024a7:0x8a92cd80347cfcb6!8m2!3d40.849139!4d-74.2966059",http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C560%20PASSIAC%20AVE%2C+WEST%20CALDWELL%2C+NJ+07006
3763, COURT STREET PLAZA,7030,NJ, HOBOKEN,"-74.0311,40.73676",,http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C59%20WASHINGTON%20ST%2C+HOBOKEN%2C+NJ+07030
3764,600 KINGS HWY N,8034,NJ, CHERRY HILL,,"https://www.google.com/maps/place/CVS/@39.9193752,-75.0129436,15z/data=!4m8!1m2!2m1!1sNEW+JERSEY+CVS+PHARMACY+LLC,600+KINGS+HWY+N,+CHERRY+HILL,+NJ+08034!3m4!1s0x89c6cb8306da2885:0x9c857dac06174981!8m2!3d39.924857!4d-75.0001114",http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C600%20KINGS%20HWY%20N%2C+CHERRY%20HILL%2C+NJ+08034
3767,9015 BERGENLINE AVENUE - 90TH STREET,7047,NJ, NORTH BERGEN,"-74.00191,40.808548",,http://maps.google.com/maps?q=NEW%20JERSEY%20CVS%20PHARMACY%20LLC%2C9015%20BERGENLINE%20AVENUE%20-%2090TH%20STREET%2C+NORTH%20BERGEN%2C+NJ+07047
3773, PO BOX 1128,27298,NC, LIBERTY,"-79.578545,35.853645",,http://maps.google.com/maps?q=NORTH%20CAROLINA%20CVS%20PHARMACY%20LLC%2C204%20LIBERTY%20PLAZA%2C%20PO%20BOX%201128%2C+LIBERTY%2C+NC+27298
3774, STE #126,27262,NC, HIGH POINT,"-80.03427,35.939995",,http://maps.google.com/maps?q=NORTH%20CAROLINA%20CVS%20PHARMACY%20LLC%2C2200%20WESTCHESTER%20DR%2C%20STE%20#126%2C+HIGH%20POINT%2C+NC+27262
3775,24 WESTGATE PKWY.,28806,NC, ASHEVILLE,"-82.5753,35.5934",,http://maps.google.com/maps?q=NORTH%20CAROLINA%20CVS%20PHARMACY%20LLC%2C24%20WESTGATE%20PKWY.%2C+ASHEVILLE%2C+NC+28806
3777, 2121 N. ROBINS DRIVE,84041,UT, LAYTON,,"https://www.google.com/maps/place/North+View+Pharmacy/@41.0908467,-112.0004077,17z/data=!3m1!4b1!4m5!3m4!1s0x875303825e7c1a49:0x6df62d6c0d1d02f2!8m2!3d41.0908467!4d-111.998219",http://maps.google.com/maps?q=NORTH%20VIEW%20PHARMACY%2C2121%20NORTH%20ROBINS%20DRIVE%2C+LAYTON%2C+UT+84041
3778, 1756 SAGAMORE ROAD,44067,OH, NORTHFIELD,,"https://www.google.com/maps/place/Northcoast+Behavioral+Hlthcare/@41.3503062,-81.5772986,17z/data=!3m1!4b1!4m5!3m4!1s0x8830e113f2b5ea31:0xf75f179d550b5714!8m2!3d41.3503062!4d-81.5751099",http://maps.google.com/maps?q=NORTHCOAST%20BEHAVIORAL%2CPHARMACY%20DEPARTMENT%2C+NORTHFIELD%2C+OH+44067
3781, 3917 SPRING GROVE AVE,45223,OH, CINCINNATI,,"https://www.google.com/maps/place/Northside+Health+Center/@39.1574806,-84.5428803,17z/data=!3m1!4b1!4m5!3m4!1s0x8841b48c8ed44611:0x81782afe4043ea69!8m2!3d39.1574806!4d-84.5406916",http://maps.google.com/maps?q=NORTHSIDE%20HEALTH%20CENTER%2CCINCINNATI%20HEALTH%20DEPARTMENT%2C+CINCINNATI%2C+OH+45223
